iter	RMSE
246	223.5976155
247	223.3201599
248	223.2500364
249	223.1084661
250	222.9699581
251	222.9232231
252	222.8056353
253	222.6560046
254	222.405128
255	222.1920256
256	222.0446306
257	221.9177116
258	221.7577841
259	221.5253753
260	221.3582034
261	221.2325274
262	220.9977756
263	220.9017646
264	220.7712218
265	220.6378931
266	220.5671876
267	220.3630374
268	220.061372
269	219.827983
270	219.4910919
271	219.2529386
272	219.0666838
273	218.9305341
274	218.6987636
275	218.5187096
276	218.3472811
277	218.0962685
278	217.8835609
279	217.5636551
280	217.4092157
281	217.2539162
282	217.1362409
283	217.0303837
284	216.8952536
285	216.8589076
286	216.728851
287	216.6645732
288	216.5591217
289	216.3516312
290	216.1982572
291	216.0093711
292	215.7747316
293	215.5784246
294	215.5091993
295	215.2676541
296	214.9979473
297	214.8437765
298	214.666721
299	214.6281941
300	214.4574084
301	214.3289858
302	214.1647942
303	213.9996185
304	213.8786898
305	213.8337849
306	213.7458282
307	213.6076231
308	213.5070565
309	213.3451579
310	213.1255582
311	213.0189986
312	212.9085124
313	212.8126874
314	212.7275081
315	212.6439826
316	212.6075335
317	212.4339654
318	212.0975992
319	211.940784
320	211.7426055
321	211.5266733
322	211.3796164
323	211.2472056
324	211.1519213
325	210.9019008
326	210.6730659
327	210.5646815
328	210.3923149
329	210.2161437
330	210.0339642
331	209.9509593
332	209.7446624
333	209.582246
334	209.5136517
335	209.2735927
336	209.0511969
337	208.9356165
338	208.7719409
339	208.6306654
340	208.4123167
341	208.3770119
342	208.2708352
343	208.1056491
344	207.9615879
345	207.8948951
346	207.7605094
347	207.5638928
348	207.467959
349	207.2093621
350	207.0948243
351	207.0254359
352	206.8079396
353	206.763779
354	206.6836057
355	206.4304666
356	206.2449719
357	206.2153396
358	206.1499196
359	206.0696158
360	205.9520015
361	205.9000672
362	205.7326735
363	205.6078473
364	205.5124704
365	205.4357285
366	205.3657934
367	205.2898863
368	205.1955909
369	205.1357435
370	204.9351396
371	204.7625585
372	204.6529592
373	204.5112721
374	204.3938156
375	204.2553891
376	204.1079651
377	203.9572235
378	203.843253
379	203.6948722
380	203.4063755
381	203.3112489
382	203.289126
383	203.2422632
384	203.1874921
385	203.0170595
386	202.832999
387	202.7719544
388	202.7267679
389	202.5638206
390	202.5354849
391	202.2684874
392	202.1501463
393	202.0300692
394	201.875285
395	201.723952
396	201.6651968
397	201.5364844
398	201.4255869
399	201.3214553
400	201.2065968
401	201.0327877
402	200.8508798
403	200.7496018
404	200.7033118
405	200.5676353
406	200.4279654
407	200.261541
408	200.1270975
409	200.0120054
410	199.9261642
411	199.7444615
412	199.61477
413	199.468854
414	199.3429221
415	199.242567
416	199.1520309
417	199.0380267
418	198.8635255
419	198.8211828
420	198.7001028
421	198.513376
422	198.4483608
423	198.3301121
424	198.2558036
425	198.1006775
426	198.0444828
427	197.8708374
428	197.7386416
429	197.6543232
430	197.4998884
431	197.2988965
432	197.1955796
433	197.0891807
434	196.9608717
435	196.8934626
436	196.7539374
437	196.7178578
438	196.6153228
439	196.4863823
440	196.3580434
441	196.2306883
442	196.1622755
443	196.0425571
444	196.0172569
445	195.8806537
446	195.7803908
447	195.7007553
448	195.561193
449	195.3093668
450	195.1435116
451	195.0942485
452	195.0749213
453	194.9067265
454	194.7727243
455	194.7076293
456	194.6744677
457	194.6320568
458	194.500888
459	194.4589236
460	194.3685377
461	194.1520559
462	194.0273074
463	193.8444604
464	193.7167298
465	193.5485147
466	193.3908382
467	193.1872159
468	193.0249762
469	192.8958157
470	192.7683754
471	192.7286566
472	192.6494292
473	192.6177043
474	192.5791624
475	192.5379899
476	192.3403494
477	192.2550204
478	192.2241198
479	192.143274
480	191.988205
481	191.8730271
482	191.7259971
483	191.6078715
484	191.450884
485	191.3622727
486	191.2660729
487	191.1056584
488	191.0255914
489	190.9277458
490	190.8397206
491	190.6636515
492	190.5433406
493	190.416947
494	190.2976299
495	190.211435
496	190.1063125
497	190.0613221
498	189.9155986
499	189.7884829
500	189.7275649
501	189.610179
502	189.4633758
503	189.4038781
504	189.2108039
505	189.1495215
506	189.1104979
507	188.9558022
508	188.8581564
509	188.821723
510	188.6938869
511	188.6025667
512	188.5539217
513	188.4720609
514	188.3469886
515	188.2637446
516	188.1430658
517	188.0885714
518	187.9813199
519	187.9188123
520	187.8519772
521	187.6972887
522	187.6197473
523	187.5997481
524	187.5305856
525	187.424452
526	187.2749268
527	187.1672674
528	187.0908326
529	187.0130929
530	186.904709
531	186.8578085
532	186.8099405
533	186.7071338
534	186.6386477
535	186.5309469
536	186.5127483
537	186.4809209
538	186.4262108
539	186.3525132
540	186.2989157
541	186.2486434
542	186.0550877
543	185.973059
544	185.926146
545	185.7834271
546	185.7288823
547	185.5913609
548	185.5493815
549	185.4694963
550	185.3269311
551	185.2825628
552	185.2106444
553	185.1856307
554	185.058083
555	184.8913458
556	184.7978302
557	184.731594
558	184.6199255
559	184.5414261
560	184.4955055
561	184.4482224
562	184.2607298
563	184.2401394
564	184.1733613
565	184.0318664
566	183.8872908
567	183.7787885
568	183.6960775
569	183.5796596
570	183.4617097
571	183.3007128
572	183.2429793
573	183.1342971
574	183.0229138
575	183.0052273
576	182.8990281
577	182.8086392
578	182.7075648
579	182.6013307
580	182.5228
581	182.4485623
582	182.275796
583	182.1889522
584	182.1307655
585	182.1021152
586	182.0389016
587	181.9415524
588	181.8428598
589	181.6707027
590	181.5929066
591	181.5689009
592	181.4478443
593	181.3710418
594	181.3057679
595	181.2518441
596	181.1478932
597	181.1167963
598	181.0279911
599	180.9541091
600	180.9000088
601	180.7795625
602	180.7303343
603	180.6952577
604	180.5537606
605	180.4837665
606	180.4123012
607	180.3437532
608	180.1512448
609	180.1239947
610	180.0981403
611	179.9904533
612	179.8714977
613	179.7736611
614	179.7015592
615	179.5717089
616	179.4898481
617	179.4346664
618	179.3818576
619	179.3160053
620	179.2491057
621	179.1964235
622	179.1208074
623	179.0476384
624	179.0217183
625	178.9476244
626	178.8633081
627	178.7443542
628	178.6793992
629	178.6359452
630	178.5273917
631	178.487349
632	178.4147842
633	178.3333397
634	178.3110524
635	178.2848477
636	178.2203087
637	178.133001
638	178.0264011
639	177.9330619
640	177.8136444
641	177.6464138
642	177.5413652
643	177.5130074
644	177.3670389
645	177.2727339
646	177.1702872
647	177.1248555
648	177.0103961
649	176.8497996
650	176.8137593
651	176.7437804
652	176.6086754
653	176.5409198
654	176.4325689
655	176.3689459
656	176.3042848
657	176.2320804
658	176.1396477
659	175.9278935
660	175.8698972
661	175.7732779
662	175.6872476
663	175.5963445
664	175.5041095
665	175.4516255
666	175.3959863
667	175.350215
668	175.2807163
669	175.2012325
670	175.1154335
671	175.0678728
672	175.0371731
673	174.9915518
674	174.9171881
675	174.8739113
676	174.8171957
677	174.777241
678	174.686494
679	174.5648951
680	174.5017574
681	174.421741
682	174.3716885
683	174.2316164
684	174.1905513
685	174.0965587
686	174.0817299
687	174.0264015
688	173.9766753
689	173.8967148
690	173.8562746
691	173.7433991
692	173.6925163
693	173.6715815
694	173.6558687
695	173.6199215
696	173.5344338
697	173.4523754
698	173.362999
699	173.2940025
700	173.2224046
701	173.147098
702	173.1194041
703	173.0343921
704	172.9704284
705	172.8906906
706	172.8361824
707	172.7210168
708	172.6854916
709	172.5774494
710	172.5127899
711	172.4255811
712	172.3626082
713	172.3270163
714	172.2762316
715	172.2054469
716	172.123972
717	172.0565824
718	171.9901198
719	171.9222768
720	171.8555501
721	171.8305208
722	171.7942769
723	171.7728722
724	171.727406
725	171.6927629
726	171.5458918
727	171.4639835
728	171.4427014
729	171.3688819
730	171.2577747
731	171.1475397
732	171.1396642
733	171.0597461
734	170.976867
735	170.8907288
736	170.8401869
737	170.7724773
738	170.6893914
739	170.5433462
740	170.4708221
741	170.3906765
742	170.2798898
743	170.1655652
744	170.1170682
745	169.9279714
746	169.8514393
747	169.7176555
748	169.6565893
749	169.5810937
750	169.518782
751	169.4534629
752	169.4307975
753	169.4147033
754	169.3592883
755	169.2943075
756	169.2453808
757	169.1046949
758	169.0292213
759	168.9575263
760	168.8759421
761	168.8162204
762	168.79974
763	168.7648565
764	168.720852
765	168.6456164
766	168.5912171
767	168.4780116
768	168.3854401
769	168.3558127
770	168.2874905
771	168.2449443
772	168.1690891
773	168.1435602
774	168.0471822
775	167.9376375
776	167.8168489
777	167.7142293
778	167.646609
779	167.6007107
780	167.5369445
781	167.4819181
782	167.3866538
783	167.2703954
784	167.2097428
785	167.1477332
786	167.0987899
787	167.0370099
788	166.9901433
789	166.9513185
790	166.9018451
791	166.7476551
792	166.6646015
793	166.5475397
794	166.4001471
795	166.3315204
796	166.2600734
797	166.2234076
798	166.1977321
799	166.148266
800	166.0732879
801	165.9492064
802	165.8552241
803	165.7808591
804	165.6851642
805	165.594364
806	165.5476142
807	165.5118172
808	165.4980269
809	165.4396871
810	165.3240768
811	165.1697888
812	165.1019636
813	165.0814045
814	165.0522418
815	164.9361187
816	164.8950199
817	164.8252842
818	164.773929
819	164.6622128
820	164.6397495
821	164.5823643
822	164.5357928
823	164.454017
824	164.3917774
825	164.3398379
826	164.3023499
827	164.2104476
828	164.1383571
829	164.069669
830	163.9893309
831	163.9316026
832	163.8988003
833	163.8666713
834	163.783963
835	163.6977705
836	163.6718809
837	163.6596206
838	163.6414078
839	163.6009471
840	163.5145791
841	163.424992
842	163.3576097
843	163.2985446
844	163.2163999
845	163.0874564
846	163.0351839
847	162.9612958
848	162.9048227
849	162.8274259
850	162.7491473
851	162.70708
852	162.6576472
853	162.602255
854	162.5349236
855	162.4603712
856	162.4323134
857	162.3609056
858	162.2833376
859	162.171382
860	162.1173072
861	162.0527484
862	161.9918049
863	161.9483771
864	161.8936665
865	161.8505955
866	161.8216446
867	161.790051
868	161.7278545
869	161.6295913
870	161.6077261
871	161.5776058
872	161.4671246
873	161.4415645
874	161.4296895
875	161.3629073
876	161.3094838
877	161.2595019
878	161.1930179
879	161.1254282
880	161.077019
881	160.973072
882	160.8877375
883	160.7496656
884	160.7128187
885	160.690606
886	160.5899905
887	160.5513134
888	160.5007033
889	160.4629341
890	160.379143
891	160.3434507
892	160.2981052
893	160.2503919
894	160.2068206
895	160.1465872
896	160.075009
897	160.0035671
898	159.9623698
899	159.9243359
900	159.8883492
901	159.8084035
902	159.7504922
903	159.7226677
904	159.6541642
905	159.5974344
906	159.5812328
907	159.5308032
908	159.4878001
909	159.4124805
910	159.384514
911	159.3222251
912	159.2709492
913	159.2365903
914	159.1431411
915	159.0500371
916	158.9914813
917	158.9414755
918	158.8794191
919	158.8351216
920	158.7842569
921	158.7539601
922	158.6983529
923	158.6762363
924	158.6371289
925	158.5987757
926	158.571408
927	158.5252138
928	158.4711282
929	158.3922296
930	158.3023044
931	158.2644638
932	158.2358791
933	158.1191378
934	158.0936558
935	158.0541543
936	158.0051131
937	157.9820401
938	157.8905552
939	157.8248771
940	157.7089103
941	157.6673346
942	157.6294029
943	157.5698216
944	157.5077469
945	157.4540625
946	157.4367568
947	157.4240489
948	157.3663743
949	157.335143
950	157.2544272
951	157.1989502
952	157.1397014
953	157.0923508
954	157.0318539
955	156.9589306
956	156.8944457
957	156.8587031
958	156.8133526
959	156.7844075
960	156.7599362
961	156.7238578
962	156.6788311
963	156.6471468
964	156.5608933
965	156.5363505
966	156.4726689
967	156.4378721
968	156.3988977
969	156.3280271
970	156.2685059
971	156.2181737
972	156.097721
973	156.041723
974	155.9926102
975	155.9795735
976	155.9131556
977	155.8875671
978	155.8598808
979	155.7783747
980	155.7357563
981	155.6746738
982	155.6391024
983	155.6026499
984	155.5713361
985	155.5552688
986	155.5161668
987	155.4879861
988	155.4670685
989	155.4053429
990	155.3430211
991	155.2619663
992	155.2097791
993	155.1754526
994	155.1381599
995	155.114134
996	155.0564634
997	155.0305911
998	155.0104225
999	154.9569821
